drug_name,drug_id
DB01110,0
DB01234,1
DB08814,2
DB00661,3
DB00909,4
DB04841,5
DB00201,6
DB00277,7
DB00640,8
DB00651,9
DB00996,10
DB01223,11
DB01412,12
DB00619,13
DB01254,14
DB04868,15
DB00244,16
DB00316,17
DB00328,18
DB00350,19
DB00461,20
DB00465,21
DB00469,22
DB00500,23
DB00554,24
DB00586,25
DB00605,26
DB00712,27
DB00749,28
DB00784,29
DB00788,30
DB00795,31
DB00812,32
DB00814,33
DB00821,34
DB00870,35
DB00945,36
DB00963,37
DB00991,38
DB01009,39
DB01014,40
DB01050,41
DB01283,42
DB01399,43
DB01435,44
DB02266,45
DB02709,46
DB04552,47
DB06725,48
DB06802,49
DB00246,50
DB00268,51
DB00334,52
DB00363,53
DB00408,54
DB00413,55
DB00477,56
DB00502,57
DB00543,58
DB00623,59
DB00679,60
DB00734,61
DB00800,62
DB00988,63
DB01186,64
DB01224,65
DB01235,66
DB01238,67
DB01239,68
DB01099,69
DB00398,70
DB01268,71
DB00384,72
DB00594,73
DB01229,74
DB01248,75
DB01394,76
DB03010,77
DB06772,78
DB00165,79
DB00559,80
DB06268,81
DB00321,82
DB00332,83
DB00342,84
DB00387,85
DB00424,86
DB00434,87
DB00458,88
DB00462,89
DB00496,90
DB00517,91
DB00572,92
DB00622,93
DB00715,94
DB00747,95
DB00809,96
DB00934,97
DB01036,98
DB01062,99
DB01085,100
DB01337,101
DB01409,102
DB01591,103
DB04843,104
DB06702,105
DB00170,106
DB00278,107
DB04786,108
DB04898,109
DB06695,110
DB00145,111
DB01108,112
DB00126,113
DB01275,114
DB06155,115
DB00177,116
DB00275,117
DB00796,118
DB00876,119
DB00966,120
DB01029,121
DB00297,122
DB00770,123
DB00905,124
DB00917,125
DB00636,126
DB01039,127
DB01241,128
DB01393,129
DB00121,130
DB00755,131
DB00993,132
DB01033,133
DB00210,134
DB00307,135
DB00459,136
DB00799,137
DB01941,138
DB00904,139
DB01079,140
DB00204,141
DB00308,142
DB00457,143
DB00489,144
DB00590,145
DB00908,146
DB01118,147
DB01136,148
DB01162,149
DB01182,150
DB01218,151
DB00762,152
DB01030,153
DB00245,154
DB00366,155
DB00804,156
DB00810,157
DB01148,158
DB01175,159
DB04365,160
DB03754,161
DB00973,162
DB01094,163
DB00208,164
DB06209,165
DB08816,166
DB00501,167
DB00585,168
DB00751,169
DB00863,170
DB00927,171
DB00987,172
DB00173,173
DB01016,174
DB01599,175
DB00255,176
DB00367,177
DB00396,178
DB00481,179
DB00539,180
DB00603,181
DB00655,182
DB00675,183
DB00783,184
DB00823,185
DB00882,186
DB00890,187
DB00947,188
DB00977,189
DB01065,190
DB01183,191
DB01196,192
DB01357,193
DB01645,194
DB04573,195
DB07933,196
DB01025,197
DB07931,198
DB00358,199
DB08486,200
DB00421,201
DB00499,202
DB00621,203
DB00624,204
DB00665,205
DB00984,206
DB01128,207
DB01395,208
DB01420,209
DB02932,210
DB04839,211
DB06710,212
DB07423,213
DB00536,214
DB00822,215
DB02115,216
DB00252,217
DB00273,218
DB01438,219
DB00361,220
DB00541,221
DB00570,222
DB01179,223
DB00724,224
DB01611,225
DB00514,226
DB01017,227
DB01120,228
DB00872,229
DB00290,230
DB00187,231
DB00195,232
DB00264,233
DB00368,234
DB00373,235
DB00571,236
DB00612,237
DB00668,238
DB00841,239
DB01001,240
DB01064,241
DB01193,242
DB04861,243
DB00281,244
DB00296,245
DB00527,246
DB00645,247
DB00721,248
DB00807,249
DB00892,250
DB00961,251
DB01086,252
DB01173,253
DB00583,254
DB01074,255
DB00203,256
DB00820,257
DB00862,258
DB00975,259
DB00128,260
DB01708,261
DB00379,262
DB00564,263
DB00740,264
DB00750,265
DB00776,266
DB01195,267
DB02877,268
DB04942,269
DB00222,270
DB00672,271
DB00731,272
DB00912,273
DB01067,274
DB01124,275
DB01251,276
DB00302,277
DB00513,278
DB00197,279
DB00412,280
DB01132,281
DB06228,282
DB01373,283
DB01087,284
DB00178,285
DB00542,286
DB00584,287
DB00691,288
DB00790,289
DB00881,290
DB01197,291
DB01340,292
DB01213,293
DB00200,294
DB00648,295
DB01367,296
DB00179,297
DB00233,298
DB00471,299
DB00744,300
DB01097,301
DB00242,302
DB00900,303
DB01667,304
DB02857,305
DB00600,306
DB00780,307
DB00331,308
DB03796,309
DB00811,310
DB00480,311
DB00482,312
DB00533,313
DB00580,314
DB01041,315
DB04743,316
DB08597,317
DB00232,318
DB00381,319
DB00423,320
DB00436,321
DB00703,322
DB00869,323
DB00880,324
DB00999,325
DB01021,326
DB01144,327
DB01194,328
DB00400,329
DB00370,330
DB00484,331
DB00575,332
